Order_ID,Order_Date,Ship_Date,Delivery_Date,Supplier_Name,Supplier_Location,Warehouse_Location,Product_Category,Product_ID,Quantity,Unit_Price,Total_Cost,Shipping_Cost,Shipping_Mode,Delivery_Status,Delay_Days,Payment_Method,Customer_Type,Region,Returned
ORD-72814,26-02-2022,2022-02-27,2022-03-06,ABC Corp,,WH-Beta,Clothing,PROD-247,83,15.89,1318.8700000000001,92.39,Sea,Cancelled,2.0,Deb_Card,Corporate,South,Yes
ORD-68008,,,2022-09-11,Apex Logistics,"Shanghai, CN",WH-Gamma,Clothing,PROD-330,93,343.46,31941.78,40.5,Air,Delayed,6.0,Net Banking,Retail,West,Yes
ORD-81511,,2023-02-04,,industrial supplies ltd,FRANCE,WH-Alpha,Clothing,PROD-412,54,29.67,1602.18,17.45,Rail,Cancelled,1.0,UPI,Retail,East,
ORD-58629,,2023-05-23,,ABC Corp,"Shanghai, CN",WH-Alpha,Furniture,PROD-365,4,453.84,1815.36,84.89,Sea,On-Time,11.0,Cash,Wholesale,South,Yes
ORD-65004,13-11-2023,2023-11-17,2023-11-28,Apex Logistics,DE,WH-Gamma,Industrial Tools,PROD-241,90,55.32,4978.8,46.13,Rail,Cancelled,2.0,Cash,Retail,East,No
ORD-65519,2023/05/03,2023-05-07,2023-05-11,APEX LOGISTICS,DE,WH-Gamma,Office Supplies,PROD-374,24,183.88,4413.12,,Road,Cancelled,2.0,Net Banking,Wholesale,North,
ORD-86507,,,2023-04-07,GlobalTech,"London, UK",WH-Beta,Industrial Tools,PROD-173,70,108.54,7597.8,98.63,Air,Delayed,0.0,Cash,Corporate,West,No
ORD-66948,11/24/2023,2023-11-28,2023-12-13,Apex Logistics,FRANCE,WH-Gamma,Industrial Tools,PROD-887,67,315.09,21111.03,42.56,Road,Delayed,3.0,UPI,Corporate,North,
ORD-79924,2022/03/27,2022-03-31,2022-04-03,global tech,"London, UK",WH-Gamma,Furniture,PROD-501,59,134.87,7957.33,97.67,Air,Delayed,,Cash,Wholesale,East,
ORD-97720,2023/12/02,2023-12-05,2023-12-22,Global Tech Inc,"New York, USA",WH-Beta,Industrial Tools,PROD-970,57,164.4,9370.800000000001,10.25,Road,Cancelled,4.0,Net Banking,Corporate,South,No
ORD-54374,20-03-2022,2022-03-24,,apex logistics,"London, UK",Main_Hub,Electronics,PROD-159,59,,0.0,49.5,ROAD  ,On-Time,13.0,Net Banking,Wholesale,South,Yes
ORD-67132,2023/11/08,2023-11-13,,GlobalTech,"Shanghai, CN",WH-Beta,Furniture,PROD-628,9999,141.26,1412458.74,81.62,Road,Cancelled,9.0,Credit Card,Corporate,West,
ORD-57419,,2023-11-13,,ApexLogistics,Mumbai,WH-Gamma,Furniture,PROD-319,53,301.1,15958.300000000001,52.6,Air,Cancelled,13.0,Cash,Retail,North,No
ORD-22656,2023/03/03,2023-03-07,2023-03-14,APEX LOGISTICS,,WH-Gamma,Clothing,PROD-669,10,210.8,2326.0,15.88,Road,Cancelled,10.0,Deb_Card,Retail,S,
ORD-70604,12/16/2022,2022-12-21,2022-12-22,Apex Logistics Inc,"Shanghai, CN",Main_Hub,Industrial Tools,PROD-637,4,459.63,1838.52,41.39,ROAD  ,Cancelled,14.0,UPI,Corporate,West,Yes
ORD-26691,21-03-2023,,,Industrial Supplies Ltd Inc,,WH-Alpha,Clothing,PROD-759,7,16.73,117.11,71.53,Rail,Delayed,10.0,Net Banking,Retail,South,
ORD-45761,,2022-06-30,2022-07-07,GLOBAL TECH,,WH-Gamma,Electronics,PROD-783,17,91.71,1559.07,18.4,ROAD  ,Cancelled,12.0,Cash,Corporate,East,No
ORD-80435,2023/09/26,2023-09-30,2023-10-01,IndustrialSuppliesLtd,"Shanghai, CN",WH-Gamma,Office Supplies,PROD-183,13,137.36,1785.6800000000003,22.66,Road,On-Time,0.0,UPI,Retail,South,Yes
ORD-38668,05/09/2022,,,Apex Logistics Inc,"New York, USA",WH-Alpha,Furniture,PROD-360,19,448.2,8515.8,82.24,Sea,Cancelled,,Net Banking,Wholesale,South,
ORD-73904,01/17/2022,2022-01-19,2022-02-02,IndustrialSuppliesLtd,Mumbai,WH-Beta,Electronics,PROD-875,74,49.06,3630.44,36.66,Sea,C@nc3ll3d,14.0,Net Banking,Retail,South,Yes
ORD-18950,10/04/2023,,2023-10-11,Industrial Supplies Ltd,DE,Main_Hub,Office Supplies,PROD-656,43,57.79,2484.97,73.06,Road,On-Time,4.0,Net Banking,Retail,West,No
ORD-82487,,,2023-05-08,GlobalTech,"London, UK",WH-Alpha,Office Supplies,PROD-698,54,304.96,16467.84,67.19,AIR  ,Delayed,3.0,Net Banking,Retail,West,No
ORD-25970,,2023-04-06,2023-04-13,ABC Corp,Mumbai,WH-Alpha,Office Supplies,PROD-763,19,311.81,5924.39,51.65,ROAD  ,Cancelled,14.0,Cash,Corporate,North,
ORD-15778,,,,Industrial Supplies Ltd Inc,"New York, USA",WH-Alpha,Office Supplies,PROD-709,94,103.88,9764.72,23.67,Sea,Cancelled,2.0,Net Banking,Wholesale,South,
ORD-90746,,2023-10-13,2023-10-28,apex logistics,FRANCE,WH-Beta,Industrial Tools,PROD-377,-5,407.75,-2038.75,94.41,Rail,Cancelled,15.0,Credit Card,Wholesale,South,
ORD-35715,25-10-2022,2022-10-30,2022-11-12,global tech,DE,WH-Beta,Office Supplies,PROD-654,38,303.86,11546.68,44.38,ROAD  ,Delayed,4.0,Net Banking,Wholesale,East,Yes
ORD-83149,26-08-2022,2022-08-29,2022-09-06,abc corp,"New York, USA",WH-Alpha,Office Supplies,PROD-785,95,280.48,26645.600000000002,49.88,Sea,Delayed,,Cash,Corporate,West,No
ORD-70956,,2023-10-31,2023-11-09,Apex Logistics,FRANCE,WH-Gamma,Electronics,PROD-270,39,252.52,9848.28,45.11,Rail,Cancelled,3.0,Deb_Card,Wholesale,West,
ORD-78879,,,2023-04-14,Global Tech Inc,Mumbai,WH-Beta,Office Supplies,PROD-786,79,480.5,37959.5,49.37,Rail,On-Tim3,14.0,UPI,Corporate,E,
ORD-41571,2023/04/26,2023-05-01,2023-05-09,ABC Corp Inc,FRANCE,WH-Gamma,Clothing,PROD-268,4,59.24,236.96,85.49,Air,Cancelled,2.0,Deb_Card,Retail,East,
ORD-92727,,2023-09-13,2023-09-23,ABC Corp Inc,Mumbai,WH-Alpha,Electronics,PROD-319,5,481.2,2406.0,12.21,Rail,Delayed,,Deb_Card,Retail,S,Yes
ORD-56566,04/29/2023,2023-04-30,2023-05-06,INDUSTRIAL SUPPLIES LTD,Mumbai,Main_Hub,Industrial Tools,PROD-802,89,177.03,15755.67,22.15,ROAD  ,Cancelled,-1.0,Deb_Card,Corporate,North,Yes
ORD-78674,06/27/2022,2022-07-01,2022-07-15,ABCCorp,"New York, USA",Main_Hub,Office Supplies,PROD-296,58,36.38,2110.04,74.54,Rail,Delayed,4.0,Cash,Corporate,W,No
ORD-85223,11/07/2022,2022-11-05,,ABCCorp,"New York, USA",WH-Alpha,Industrial Tools,PROD-229,26,261.76,6805.76,13.59,Rail,Delayed,7.0,Net Banking,Wholesale,South,No
ORD-17492,2022/09/25,2022-09-30,,Global Tech,"New York, USA",WH-Alpha,Industrial Tools,PROD-280,25,454.78,11369.5,70.15,Sea,Delayed,6.0,Deb_Card,Retail,North,Yes
ORD-64262,2022/03/07,2022-03-08,2022-03-25,ABC CORP,"London, UK",WH-Alpha,Office Supplies,PROD-614,40,70.35,3049.0,94.59,Rail,Cancelled,15.0,Net Banking,Retail,West,
ORD-42850,2022/09/22,2022-09-27,2022-09-29,global tech,"New York, USA",WH-Gamma,Industrial Tools,PROD-844,2,,0.0,57.4,Sea,On-Time,11.0,UPI,Corporate,West,
ORD-83956,12-06-2023,2023-06-16,2023-06-18,Global Tech,,WH-Beta,Office Supplies,PROD-408,70,351.19,24583.3,29.66,Sea,Delayed,3.0,UPI,Wholesale,East,Yes
ORD-55938,19-04-2022,2022-04-17,,ABC Corp,"London, UK",WH-Beta,Office Supplies,PROD-535,9,156.2,1405.8,,Air,Delayed,2.0,Net Banking,Wholesale,West,Yes
ORD-67014,08-10-2023,2023-10-10,2023-10-25,abc corp,,WH-Gamma,Office Supplies,PROD-872,57,204.42,11651.939999999999,25.85,Air,Delayed,13.0,Net Banking,Corporate,East,Yes
ORD-82869,,2023-06-06,2023-06-10,Global Tech Inc,DE,WH-Alpha,Office Supplies,PROD-978,11,132.65,1459.15,48.36,Road,Cancelled,,Credit Card,Retail,N,No
ORD-62855,05/06/2022,2022-05-07,2022-05-24,ABC Corp Inc,DE,Main_Hub,Furniture,PROD-504,12,120.8,1449.6,59.38,Road,On-Time,,UPI,Retail,S,No
ORD-90584,2022/12/16,2022-12-19,2023-01-01,Global Tech,"London, UK",WH-Gamma,Office Supplies,PROD-222,61,353.14,21541.54,9.61,AIR  ,Cancelled,6.0,Net Banking,Wholesale,North,Yes
ORD-70686,01/05/2023,2023-01-09,2023-01-12,global tech,FRANCE,WH-Beta,Electronics,PROD-716,92,28.34,2607.28,54.47,RAIL  ,On-Time,15.0,Cash,Corporate,West,No
ORD-79135,,2023-03-21,2023-03-30,GLOBAL TECH,Mumbai,Main_Hub,Office Supplies,PROD-697,58,113.06,6946.4800000000005,51.59,Sea,Cancelled,,Cash,Retail,East,
ORD-31299,,2022-01-29,2022-02-05,Apex Logistics,Mumbai,WH-Alpha,Electronics,PROD-680,15,389.02,5835.299999999999,5.53,Rail,On-Time,14.0,Deb_Card,Corporate,South,
ORD-96846,2022/03/28,2022-03-30,2022-04-12,industrial supplies ltd,"New York, USA",WH-Beta,Office Supplies,PROD-555,86,403.94,34738.84,91.53,Sea,Cancelled,7.0,Credit Card,Corporate,West,No
ORD-21995,02/07/2022,2022-02-12,2022-02-23,Global Tech,Mumbai,WH-Alpha,Clothing,PROD-183,83,74.6,6191.799999999999,61.09,Air,Cancelled,4.0,Credit Card,Retail,East,Yes
ORD-83133,2023/02/16,2023-02-19,,industrial supplies ltd,DE,Main_Hub,Office Supplies,PROD-146,98,440.44,43604.12,71.51,Air,Delayed,3.0,Deb_Card,Retail,East,No
ORD-51436,10/14/2022,2022-10-16,2022-10-31,Industrial Supplies Ltd,FRANCE,Main_Hub,Industrial Tools,PROD-620,66,17.88,1180.08,8.31,Air,On-Time,4.0,Deb_Card,Retail,East,No
ORD-23272,,2022-12-21,,Global Tech Inc,,WH-Gamma,Clothing,PROD-824,59,144.45,8522.55,83.5,RAIL  ,Delayed,4.0,UPI,Corporate,East,Yes
ORD-59832,,2022-12-11,2022-12-29,Global Tech Inc,Mumbai,WH-Alpha,Industrial Tools,PROD-196,87,81.49,7089.629999999999,41.45,RAIL  ,Cancelled,13.0,Cash,Corporate,East,No
ORD-80244,10/18/2022,,2022-11-06,ApexLogistics,"Shanghai, CN",WH-Alpha,Electronics,PROD-884,31,453.04,14223.24,45.39,AIR  ,On-Time,,Credit Card,Corporate,East,
ORD-39451,12/15/2022,,2023-01-04,Apex Logistics Inc,"London, UK",WH-Alpha,Furniture,PROD-621,92,463.91,42679.72,39.35,Air,Cancelled,,Deb_Card,Corporate,East,
ORD-46048,2023/08/30,2023-09-03,2023-09-05,IndustrialSuppliesLtd,DE,WH-Alpha,Furniture,PROD-509,96,269.65,26195.399999999998,89.89,Sea,Cancelled,-2.0,Cash,Retail,N,No
ORD-79168,2022/03/03,2022-03-04,,INDUSTRIAL SUPPLIES LTD,"New York, USA",WH-Alpha,Electronics,PROD-301,100,71.24,7528.999999999999,25.14,Sea,Delayed,3.0,Net Banking,Retail,West,
ORD-82357,29-10-2023,2023-10-30,2023-11-08,GLOBAL TECH,Mumbai,WH-Beta,Office Supplies,PROD-250,15,406.56,6098.4,37.06,RAIL  ,Cancelled,8.0,Credit Card,Corporate,East,No
ORD-55820,08/19/2023,2023-08-24,2023-09-03,Apex Logistics,,WH-Beta,Electronics,PROD-213,14,45.6,638.4,62.72,Sea,On-Time,,UPI,Corporate,West,
ORD-57419,06/17/2023,2023-06-19,2023-07-01,IndustrialSuppliesLtd,DE,WH-Beta,Electronics,PROD-345,88,42.88,3773.44,57.34,Sea,Delayed,8.0,Net Banking,Corporate,East,Yes
ORD-28964,11-04-2023,2023-04-15,,global tech,DE,WH-Alpha,Furniture,PROD-758,81,230.97,18708.57,38.98,RAIL  ,Cancelled,,Deb_Card,Wholesale,North,Yes
ORD-51033,,2022-03-09,,ApexLogistics,Mumbai,WH-Alpha,Clothing,PROD-332,6,168.53,1011.1800000000001,36.91,Air,Delayed,6.0,Cash,Wholesale,South,No
ORD-46160,,2023-11-29,2023-12-13,GLOBAL TECH,DE,Main_Hub,Electronics,PROD-556,81,431.08,34917.479999999996,,SEA  ,Cancelled,12.0,Cash,Wholesale,North,
ORD-17104,,2023-10-18,2023-10-30,GlobalTech,"Shanghai, CN",Main_Hub,Clothing,PROD-870,71,268.77,19082.67,32.42,Road,Delayed,0.0,Credit Card,Wholesale,East,
ORD-64293,06/16/2022,2022-06-20,,Global Tech,DE,Main_Hub,Clothing,PROD-809,70,159.22,11145.4,,Air,Cancelled,6.0,Cash,Retail,West,Yes
ORD-30866,10-06-2023,2023-06-11,2023-06-30,global tech,"New York, USA",WH-Gamma,Electronics,PROD-425,0,466.23,0.0,34.21,Sea,Delayed,15.0,Net Banking,Wholesale,East,Yes
ORD-89963,14-01-2023,2023-01-15,2023-01-26,Apex Logistics Inc,"New York, USA",WH-Gamma,Industrial Tools,PROD-832,83,488.2,40520.6,22.8,Sea,Cancelled,9.0,Credit Card,Retail,East,Yes
ORD-61068,02/11/2022,2022-02-14,2022-03-01,Industrial Supplies Ltd Inc,DE,Main_Hub,Clothing,PROD-797,0,105.06,0.0,88.5,SEA  ,On-Time,-1.0,Deb_Card,Corporate,North,Yes
ORD-56961,01/29/2022,2022-01-30,2022-02-10,Industrial Supplies Ltd Inc,Mumbai,Main_Hub,Office Supplies,PROD-975,3,294.16,882.48,80.77,Road,On-Tim3,11.0,Net Banking,Corporate,South,Yes
ORD-74942,10/18/2022,2022-10-19,,Industrial Supplies Ltd,FRANCE,WH-Beta,Industrial Tools,PROD-282,8,286.54,2292.32,56.37,AIR  ,On-Time,-2.0,Deb_Card,Corporate,East,
ORD-16590,24-12-2022,2022-12-29,2023-01-10,APEX LOGISTICS,"London, UK",WH-Beta,Furniture,PROD-182,100,420.73,42073.0,79.8,Air,Cancelled,,Deb_Card,Wholesale,East,
ORD-89516,,2022-12-17,,ApexLogistics,"Shanghai, CN",WH-Beta,Industrial Tools,PROD-897,29,78.55,2277.95,53.38,SEA  ,On-Time,9.0,Net Banking,Wholesale,West,No
ORD-66973,,2022-05-24,2022-06-04,Industrial Supplies Ltd,"London, UK",WH-Beta,Furniture,PROD-366,83,348.07,28889.809999999998,,Road,On-Time,,Deb_Card,Wholesale,North,
ORD-57088,,2022-04-05,2022-04-19,Global Tech Inc,DE,Main_Hub,Clothing,PROD-453,36,57.62,2074.3199999999997,75.72,Air,On-Time,,Net Banking,Corporate,East,
ORD-87554,12-10-2022,2022-10-17,2022-10-24,GlobalTech,"Shanghai, CN",WH-Gamma,Furniture,PROD-777,42,143.06,6008.52,38.3,Sea,Delayed,1.0,Credit Card,Retail,North,
ORD-16764,29-07-2023,2023-08-03,2023-08-02,ABC Corp,DE,WH-Alpha,Furniture,PROD-465,39,352.09,14184.509999999998,,Road,On-Tim3,13.0,Deb_Card,Corporate,West,Yes
ORD-16358,08/07/2023,2023-08-08,,Industrial Supplies Ltd Inc,"Shanghai, CN",WH-Gamma,Furniture,PROD-945,12,252.43,3029.16,69.44,ROAD  ,Delayed,-1.0,Credit Card,Wholesale,North,
ORD-75179,06/29/2023,2023-07-01,2023-07-16,apex logistics,"London, UK",WH-Beta,Industrial Tools,PROD-409,63,470.79,29659.77,14.06,AIR  ,Cancelled,9.0,Net Banking,Retail,North,No
ORD-50654,2022/03/28,2022-03-26,2022-03-31,Global Tech Inc,Mumbai,WH-Gamma,Electronics,PROD-363,51,,0.0,10.42,Road,On-Time,4.0,Net Banking,Corporate,West,
ORD-93138,,2022-12-13,2022-12-30,Industrial Supplies Ltd,Mumbai,WH-Gamma,Furniture,PROD-557,9999,340.74,3407059.2600000002,92.81,AIR  ,Cancelled,2.0,UPI,Retail,East,Yes
ORD-91006,21-09-2022,2022-09-23,2022-09-29,ABC CORP,"New York, USA",Main_Hub,Office Supplies,PROD-234,10,177.79,1777.8999999999999,65.8,SEA  ,Cancelled,3.0,Cash,Retail,South,No
ORD-80457,19-09-2022,2022-09-21,,ABCCorp,FRANCE,WH-Beta,Office Supplies,PROD-258,84,107.99,9343.16,8.1,SEA  ,On-Time,12.0,UPI,Wholesale,East,
ORD-90746,11/30/2022,,,global tech,"London, UK",WH-Beta,Office Supplies,PROD-589,3,50.63,151.89000000000001,55.93,ROAD  ,Delayed,,Credit Card,Wholesale,East,No
ORD-11214,04-02-2023,2023-02-07,2023-02-10,APEX LOGISTICS,"New York, USA",WH-Alpha,Industrial Tools,PROD-128,59,197.87,11674.33,81.86,RAIL  ,Delayed,,Deb_Card,Corporate,East,
ORD-83060,02/23/2022,2022-02-25,2022-03-14,Apex Logistics Inc,Mumbai,Main_Hub,Industrial Tools,PROD-831,86,128.62,11061.32,59.02,Road,Cancelled,2.0,UPI,Retail,East,No
ORD-91226,30-01-2023,2023-02-04,2023-02-17,ABC Corp Inc,,WH-Gamma,Industrial Tools,PROD-152,13,421.16,5475.08,90.37,Air,Cancelled,5.0,Net Banking,Retail,West,
ORD-40775,,2022-01-31,2022-02-05,INDUSTRIAL SUPPLIES LTD,,WH-Alpha,Office Supplies,PROD-994,1,241.34,241.34,,Road,Delayed,3.0,UPI,Corporate,West,
ORD-94675,09/10/2022,2022-09-11,2022-09-29,APEX LOGISTICS,"London, UK",WH-Gamma,Industrial Tools,PROD-370,49,262.43,12859.07,,Air,Cancelled,0.0,Deb_Card,Corporate,South,Yes
ORD-74799,07/28/2022,2022-07-30,2022-08-13,ABC Corp,"New York, USA",WH-Beta,Office Supplies,PROD-628,21,412.64,8665.44,80.92,Sea,On-Time,-1.0,UPI,Retail,South,Yes
ORD-44741,,,2023-08-04,ApexLogistics,Mumbai,WH-Alpha,Clothing,PROD-725,100,159.37,15937.0,19.98,Air,Delayed,,Net Banking,Retail,North,
ORD-68860,10/31/2023,,2023-11-18,ABCCorp,"New York, USA",WH-Gamma,Office Supplies,PROD-797,66,369.64,24396.239999999998,65.08,Road,Cancelled,4.0,Net Banking,Retail,North,Yes
ORD-25919,2022/10/07,2022-10-10,2022-10-16,ApexLogistics,"New York, USA",WH-Gamma,Clothing,PROD-752,74,317.11,23466.14,47.54,Road,Delayed,,Net Banking,Corporate,West,Yes
ORD-59816,2023/08/23,,2023-08-28,INDUSTRIAL SUPPLIES LTD,Mumbai,WH-Alpha,Furniture,PROD-733,28,132.07,3697.96,61.18,Air,Cancelled,,UPI,Wholesale,East,Yes
ORD-94529,04-11-2022,2022-11-06,2022-11-15,ApexLogistics,DE,WH-Gamma,Electronics,PROD-604,78,52.5,4095.0,5.51,Road,Delayed,10.0,Credit Card,Corporate,West,No
ORD-40427,03/19/2023,2023-03-22,2023-04-01,INDUSTRIAL SUPPLIES LTD,"New York, USA",WH-Beta,Electronics,PROD-921,67,311.03,20839.01,,Road,Delayed,-1.0,Credit Card,Retail,East,No
ORD-43386,2023/10/13,2023-10-16,2023-10-26,INDUSTRIAL SUPPLIES LTD,Mumbai,WH-Alpha,Industrial Tools,PROD-369,20,133.62,2672.4,73.53,Road,Delayed,,Cash,Retail,South,No
ORD-54725,12/16/2022,2022-12-17,2022-12-23,ABC CORP,,Main_Hub,Furniture,PROD-890,46,92.28,4563.88,14.0,Sea,Delayed,8.0,Net Banking,Corporate,North,
ORD-63626,24-10-2023,2023-10-22,,Apex Logistics Inc,FRANCE,WH-Beta,Electronics,PROD-360,29,265.94,7712.26,37.2,Rail,Cancelled,2.0,Net Banking,Corporate,South,No
ORD-20957,,2022-07-01,2022-07-17,GLOBAL TECH,"London, UK",Main_Hub,Electronics,PROD-269,24,202.04,5174.96,46.4,RAIL  ,Cancelled,-2.0,Cash,Wholesale,E,Yes
ORD-61964,25-03-2022,2022-03-29,2022-04-08,Apex Logistics,"London, UK",WH-Beta,Industrial Tools,PROD-279,39,82.1,3201.8999999999996,69.34,SEA  ,On-Time,,Deb_Card,Corporate,East,Yes
ORD-99989,2023/01/21,2023-01-22,,ABCCorp,"New York, USA",WH-Gamma,Clothing,PROD-773,20,436.72,9040.400000000001,7.53,Sea,Delayed,8.0,Credit Card,Corporate,West,No
ORD-19602,01/15/2023,2023-01-16,2023-01-29,Industrial Supplies Ltd Inc,"Shanghai, CN",Main_Hub,Electronics,PROD-451,57,236.89,13502.73,70.5,Air,On-Time,11.0,Cash,Wholesale,South,Yes
ORD-41285,16-07-2022,2022-07-18,2022-08-03,ABCCorp,"London, UK",Main_Hub,Clothing,PROD-728,46,116.77,5371.42,50.66,RAIL  ,Delayed,12.0,UPI,Corporate,North,No
ORD-48058,07-01-2023,2023-01-12,2023-01-16,Apex Logistics Inc,FRANCE,WH-Beta,Office Supplies,PROD-799,60,194.36,11661.6,26.3,Road,Delayed,-1.0,Cash,Retail,West,No
ORD-16826,,2023-10-21,2023-11-05,ApexLogistics,"New York, USA",WH-Alpha,Clothing,PROD-980,62,100.86,6253.32,29.41,Sea,On-Time,8.0,UPI,Corporate,North,No
ORD-70036,07/18/2022,,,apex logistics,"New York, USA",WH-Alpha,Industrial Tools,PROD-563,40,45.34,1813.6000000000001,65.84,Rail,On-Time,0.0,UPI,Corporate,South,Yes
ORD-60052,03/08/2022,2022-03-10,2022-03-19,ABC Corp Inc,,Main_Hub,Furniture,PROD-305,14,370.68,5189.52,20.15,Sea,Cancelled,12.0,Deb_Card,Wholesale,North,No
ORD-47268,16-07-2022,2022-07-21,2022-08-05,ABCCorp,DE,WH-Beta,Office Supplies,PROD-132,75,421.21,31590.75,62.03,Road,Cancelled,3.0,Credit Card,Retail,East,Yes
ORD-33834,10-04-2023,2023-04-11,2023-04-23,abc corp,"Shanghai, CN",Main_Hub,Industrial Tools,PROD-323,65,162.7,10575.5,57.39,Air,Delayed,-1.0,UPI,Corporate,East,
ORD-44675,,2023-03-23,2023-04-07,industrial supplies ltd,"New York, USA",WH-Gamma,Clothing,PROD-603,59,482.24,28452.16,8.5,Air,On-Time,13.0,Cash,Retail,West,
ORD-60738,02/14/2022,,2022-03-06,ABC CORP,,WH-Alpha,Clothing,PROD-359,25,397.68,9942.0,30.28,RAIL  ,On-Tim3,5.0,Net Banking,Wholesale,North,No
ORD-17897,2023/04/05,,2023-04-10,GlobalTech,Mumbai,WH-Alpha,Furniture,PROD-627,49,145.19,7412.3099999999995,42.21,Sea,Delayed,,Cash,Retail,South,Yes
ORD-74032,09-08-2023,2023-08-13,2023-08-19,Industrial Supplies Ltd Inc,DE,WH-Gamma,Electronics,PROD-980,97,393.52,38171.439999999995,11.61,Rail,On-Time,13.0,Deb_Card,Wholesale,North,No
ORD-51078,07/21/2022,2022-07-22,,INDUSTRIAL SUPPLIES LTD,DE,WH-Alpha,Electronics,PROD-925,44,183.87,8090.280000000001,,Sea,On-Time,13.0,Net Banking,Wholesale,East,
ORD-97207,19-03-2023,2023-03-22,2023-03-29,ABC Corp Inc,Mumbai,WH-Gamma,Clothing,PROD-473,54,156.7,8461.8,,AIR  ,Delayed,12.0,UPI,Retail,West,Yes
ORD-58790,,2022-04-22,2022-05-10,abc corp,Mumbai,Main_Hub,Clothing,PROD-763,75,77.87,6321.25,27.74,Rail,On-Time,12.0,Net Banking,Wholesale,South,Yes
ORD-41300,31-08-2022,2022-09-01,2022-09-06,ABC CORP,"Shanghai, CN",WH-Alpha,Industrial Tools,PROD-153,63,206.01,12978.63,11.85,Rail,On-Time,9.0,UPI,Retail,North,
ORD-93606,29-03-2022,2022-03-30,2022-04-02,Apex Logistics,"London, UK",WH-Gamma,Industrial Tools,PROD-637,70,473.17,33121.9,36.14,Rail,Cancelled,-2.0,Credit Card,Retail,West,
ORD-32439,29-03-2023,2023-03-30,,INDUSTRIAL SUPPLIES LTD,"New York, USA",WH-Gamma,Electronics,PROD-317,47,43.25,2032.75,,Road,On-Time,5.0,UPI,Retail,West,No
ORD-36130,27-02-2022,2022-02-28,2022-03-15,Global Tech,FRANCE,WH-Gamma,Electronics,PROD-902,73,117.34,8565.82,93.18,AIR  ,Cancelled,1.0,Net Banking,Wholesale,South,No
ORD-85525,27-08-2022,2022-08-31,2022-09-02,Industrial Supplies Ltd Inc,DE,WH-Alpha,Furniture,PROD-548,7,29.16,204.12,13.33,Air,Cancelled,11.0,Credit Card,Wholesale,South,
