order_id,order_date,ship_date,delivery_date,supplier_name,supplier_location,warehouse_location,product_category,product_id,quantity,unit_price,total_cost,shipping_cost,shipping_mode,delivery_status,delay_days,payment_method,customer_type,region,returned,supplier_city,supplier_country,returned_flag,payment_group,customer_segment,is_b2b
ORD-58629,2023-05-21,2023-05-23,2023-06-01,ABC Corp,"Shanghai, CN",WH-ALPHA,Furniture,PROD-365,4.0,453.84,1815.36,84.89,Sea,On-Time,9,COD,Wholesale,South,Yes,Shanghai,CN,1,Offline,B2B,1
ORD-65004,2023-11-13,2023-11-17,2023-11-28,Apex Logistics,"Berlin, Germany",WH-GAMMA,Industrial Tools,PROD-241,90.0,55.32,4978.8,46.13,Rail,Cancelled,11,COD,Retail,East,No,Berlin,Germany,0,Offline,B2C,0
ORD-65519,2023-05-03,2023-05-07,2023-05-11,APEX LOGISTICS,"Berlin, Germany",WH-GAMMA,Office Supplies,PROD-374,24.0,183.88,4413.12,51.62,Road,Cancelled,4,Net Banking,Wholesale,North,No,Berlin,Germany,0,Online,B2B,1
ORD-66948,2023-11-24,2023-11-28,2023-12-13,Apex Logistics,"Paris, France",WH-GAMMA,Industrial Tools,PROD-887,67.0,315.09,21111.03,42.56,Road,Delayed,15,UPI,Corporate,North,No,Paris,France,0,Online,B2B,1
ORD-79924,2022-03-27,2022-03-31,2022-04-03,global tech,"London, UK",WH-GAMMA,Furniture,PROD-501,59.0,134.87,7957.33,97.67,Air,Delayed,3,COD,Wholesale,East,No,London,UK,0,Offline,B2B,1
ORD-97720,2023-12-02,2023-12-05,2023-12-22,Global Tech Inc,"New York, USA",WH-BETA,Industrial Tools,PROD-970,57.0,164.4,9370.8,10.25,Road,Cancelled,17,Net Banking,Corporate,South,No,New York,USA,0,Online,B2B,1
ORD-67132,2023-11-08,2023-11-13,2023-11-22,GlobalTech,"Shanghai, CN",WH-BETA,Furniture,PROD-628,50.0,141.26,7063.0,81.62,Road,Cancelled,9,Card,Corporate,West,No,Shanghai,CN,0,Online,B2B,1
ORD-57419,2023-11-11,2023-11-13,2023-11-22,ApexLogistics,Mumbai,WH-GAMMA,Furniture,PROD-319,53.0,301.1,15958.3,52.6,Air,Cancelled,9,COD,Retail,North,No,Mumbai,India,0,Offline,B2C,0
ORD-22656,2023-03-03,2023-03-07,2023-03-14,APEX LOGISTICS,"Shanghai, CN",WH-GAMMA,Clothing,PROD-669,10.0,210.8,2108.0,15.88,Road,Cancelled,7,Card,Retail,S,No,Shanghai,CN,0,Online,B2C,0
ORD-70604,2022-12-16,2022-12-21,2022-12-22,Apex Logistics Inc,"Shanghai, CN",MAIN_HUB,Industrial Tools,PROD-637,4.0,459.63,1838.52,41.39,ROAD  ,Cancelled,1,UPI,Corporate,West,Yes,Shanghai,CN,1,Online,B2B,1
ORD-26691,2023-03-21,2023-03-23,2023-04-01,Industrial Supplies Ltd Inc,"Paris, France",WH-ALPHA,Clothing,PROD-759,7.0,16.73,117.11,71.53,Rail,Delayed,9,Net Banking,Retail,South,No,Paris,France,0,Online,B2C,0
ORD-45761,2022-06-28,2022-06-30,2022-07-07,GLOBAL TECH,"Shanghai, CN",WH-GAMMA,Electronics,PROD-783,17.0,91.71,1559.07,18.4,ROAD  ,Cancelled,7,COD,Corporate,East,No,Shanghai,CN,0,Offline,B2B,1
ORD-80435,2023-09-26,2023-09-30,2023-10-01,IndustrialSuppliesLtd,"Shanghai, CN",WH-GAMMA,Office Supplies,PROD-183,13.0,137.36,1785.6800000000003,22.66,Road,On-Time,1,UPI,Retail,South,Yes,Shanghai,CN,1,Online,B2C,0
ORD-38668,2022-05-09,2022-05-11,2022-05-20,Apex Logistics Inc,"New York, USA",WH-ALPHA,Furniture,PROD-360,19.0,448.2,8515.8,82.24,Sea,Cancelled,9,Net Banking,Wholesale,South,No,New York,USA,0,Online,B2B,1
ORD-73904,2022-01-17,2022-01-19,2022-02-02,IndustrialSuppliesLtd,Mumbai,WH-BETA,Electronics,PROD-875,74.0,49.06,3630.44,36.66,Sea,Cancelled,14,Net Banking,Retail,South,Yes,Mumbai,India,1,Online,B2C,0
ORD-18950,2023-10-04,2023-10-06,2023-10-11,Industrial Supplies Ltd,"Berlin, Germany",MAIN_HUB,Office Supplies,PROD-656,43.0,57.79,2484.97,73.06,Road,On-Time,5,Net Banking,Retail,West,No,Berlin,Germany,0,Online,B2C,0
ORD-25970,2023-04-04,2023-04-06,2023-04-13,ABC Corp,Mumbai,WH-ALPHA,Office Supplies,PROD-763,19.0,311.81,5924.39,51.65,ROAD  ,Cancelled,7,COD,Corporate,North,No,Mumbai,India,0,Offline,B2B,1
ORD-15778,2022-12-17,2022-12-19,2022-12-28,Industrial Supplies Ltd Inc,"New York, USA",WH-ALPHA,Office Supplies,PROD-709,94.0,103.88,9764.72,23.67,Sea,Cancelled,9,Net Banking,Wholesale,South,No,New York,USA,0,Online,B2B,1
ORD-35715,2022-10-25,2022-10-30,2022-11-12,global tech,"Berlin, Germany",WH-BETA,Office Supplies,PROD-654,38.0,303.86,11546.68,44.38,ROAD  ,Delayed,13,Net Banking,Wholesale,East,Yes,Berlin,Germany,1,Online,B2B,1
ORD-83149,2022-08-26,2022-08-29,2022-09-06,abc corp,"New York, USA",WH-ALPHA,Office Supplies,PROD-785,95.0,280.48,26645.6,49.88,Sea,Delayed,8,COD,Corporate,West,No,New York,USA,0,Offline,B2B,1
ORD-70956,2023-10-29,2023-10-31,2023-11-09,Apex Logistics,"Paris, France",WH-GAMMA,Electronics,PROD-270,39.0,252.52,9848.28,45.11,Rail,Cancelled,9,Card,Wholesale,West,No,Paris,France,0,Online,B2B,1
ORD-41571,2023-04-26,2023-05-01,2023-05-09,ABC Corp Inc,"Paris, France",WH-GAMMA,Clothing,PROD-268,4.0,59.24,236.96,85.49,Air,Cancelled,8,Card,Retail,East,No,Paris,France,0,Online,B2C,0
ORD-92727,2023-09-11,2023-09-13,2023-09-23,ABC Corp Inc,Mumbai,WH-ALPHA,Electronics,PROD-319,5.0,481.2,2406.0,12.21,Rail,Delayed,10,Card,Retail,S,Yes,Mumbai,India,1,Online,B2C,0
ORD-56566,2023-04-29,2023-04-30,2023-05-06,INDUSTRIAL SUPPLIES LTD,Mumbai,MAIN_HUB,Industrial Tools,PROD-802,89.0,177.03,15755.67,22.15,ROAD  ,Cancelled,6,Card,Corporate,North,Yes,Mumbai,India,1,Online,B2B,1
ORD-78674,2022-06-27,2022-07-01,2022-07-15,ABCCorp,"New York, USA",MAIN_HUB,Office Supplies,PROD-296,58.0,36.38,2110.04,74.54,Rail,Delayed,14,COD,Corporate,W,No,New York,USA,0,Offline,B2B,1
ORD-85223,2022-11-07,2022-11-08,2022-11-17,ABCCorp,"New York, USA",WH-ALPHA,Industrial Tools,PROD-229,26.0,261.76,6805.76,13.59,Rail,Delayed,9,Net Banking,Wholesale,South,No,New York,USA,0,Online,B2B,1
ORD-17492,2022-09-25,2022-09-30,2022-10-09,Global Tech,"New York, USA",WH-ALPHA,Industrial Tools,PROD-280,25.0,454.78,11369.5,70.15,Sea,Delayed,9,Card,Retail,North,Yes,New York,USA,1,Online,B2C,0
ORD-64262,2022-03-07,2022-03-08,2022-03-25,ABC CORP,"London, UK",WH-ALPHA,Office Supplies,PROD-614,40.0,70.35,2814.0,94.59,Rail,Cancelled,17,Net Banking,Retail,West,No,London,UK,0,Online,B2C,0
ORD-83956,2023-06-12,2023-06-16,2023-06-18,Global Tech,"Shanghai, CN",WH-BETA,Office Supplies,PROD-408,70.0,351.19,24583.3,29.66,Sea,Delayed,2,UPI,Wholesale,East,Yes,Shanghai,CN,1,Online,B2B,1
ORD-55938,2022-04-19,2022-04-20,2022-04-29,ABC Corp,"London, UK",WH-BETA,Office Supplies,PROD-535,9.0,156.2,1405.8,55.95,Air,Delayed,9,Net Banking,Wholesale,West,Yes,London,UK,1,Online,B2B,1
ORD-67014,2023-10-08,2023-10-10,2023-10-25,abc corp,"Shanghai, CN",WH-GAMMA,Office Supplies,PROD-872,57.0,204.42,11651.94,25.85,Air,Delayed,15,Net Banking,Corporate,East,Yes,Shanghai,CN,1,Online,B2B,1
ORD-82869,2023-06-04,2023-06-06,2023-06-10,Global Tech Inc,"Berlin, Germany",WH-ALPHA,Office Supplies,PROD-978,11.0,132.65,1459.15,48.36,Road,Cancelled,4,Card,Retail,N,No,Berlin,Germany,0,Online,B2C,0
ORD-62855,2022-05-06,2022-05-07,2022-05-24,ABC Corp Inc,"Berlin, Germany",MAIN_HUB,Furniture,PROD-504,12.0,120.8,1449.6,59.38,Road,On-Time,17,UPI,Retail,S,No,Berlin,Germany,0,Online,B2C,0
ORD-90584,2022-12-16,2022-12-19,2023-01-01,Global Tech,"London, UK",WH-GAMMA,Office Supplies,PROD-222,61.0,353.14,21541.54,9.61,AIR  ,Cancelled,13,Net Banking,Wholesale,North,Yes,London,UK,1,Online,B2B,1
ORD-70686,2023-01-05,2023-01-09,2023-01-12,global tech,"Paris, France",WH-BETA,Electronics,PROD-716,92.0,28.34,2607.28,54.47,RAIL  ,On-Time,3,COD,Corporate,West,No,Paris,France,0,Offline,B2B,1
ORD-79135,2023-03-19,2023-03-21,2023-03-30,GLOBAL TECH,Mumbai,MAIN_HUB,Office Supplies,PROD-697,58.0,113.06,6557.4800000000005,51.59,Sea,Cancelled,9,COD,Retail,East,No,Mumbai,India,0,Offline,B2C,0
ORD-31299,2022-01-27,2022-01-29,2022-02-05,Apex Logistics,Mumbai,WH-ALPHA,Electronics,PROD-680,15.0,389.02,5835.299999999999,5.53,Rail,On-Time,7,Card,Corporate,South,No,Mumbai,India,0,Online,B2B,1
ORD-96846,2022-03-28,2022-03-30,2022-04-12,industrial supplies ltd,"New York, USA",WH-BETA,Office Supplies,PROD-555,86.0,403.94,34738.84,91.53,Sea,Cancelled,13,Card,Corporate,West,No,New York,USA,0,Online,B2B,1
ORD-21995,2022-02-07,2022-02-12,2022-02-23,Global Tech,Mumbai,WH-ALPHA,Clothing,PROD-183,83.0,74.6,6191.799999999999,61.09,Air,Cancelled,11,Card,Retail,East,Yes,Mumbai,India,1,Online,B2C,0
ORD-83133,2023-02-16,2023-02-19,2023-02-28,industrial supplies ltd,"Berlin, Germany",MAIN_HUB,Office Supplies,PROD-146,98.0,440.44,43163.12,71.51,Air,Delayed,9,Card,Retail,East,No,Berlin,Germany,0,Online,B2C,0
ORD-51436,2022-10-14,2022-10-16,2022-10-31,Industrial Supplies Ltd,"Paris, France",MAIN_HUB,Industrial Tools,PROD-620,66.0,17.88,1180.08,8.31,Air,On-Time,15,Card,Retail,East,No,Paris,France,0,Online,B2C,0
ORD-23272,2022-12-19,2022-12-21,2022-12-30,Global Tech Inc,Mumbai,WH-GAMMA,Clothing,PROD-824,59.0,144.45,8522.55,83.5,RAIL  ,Delayed,9,UPI,Corporate,East,Yes,Mumbai,India,1,Online,B2B,1
ORD-59832,2022-12-09,2022-12-11,2022-12-29,Global Tech Inc,Mumbai,WH-ALPHA,Industrial Tools,PROD-196,87.0,81.49,7089.629999999999,41.45,RAIL  ,Cancelled,18,COD,Corporate,East,No,Mumbai,India,0,Offline,B2B,1
ORD-80244,2022-10-18,2022-10-20,2022-11-06,ApexLogistics,"Shanghai, CN",WH-ALPHA,Electronics,PROD-884,31.0,453.04,14044.24,45.39,AIR  ,On-Time,17,Card,Corporate,East,No,Shanghai,CN,0,Online,B2B,1
ORD-39451,2022-12-15,2022-12-17,2023-01-04,Apex Logistics Inc,"London, UK",WH-ALPHA,Furniture,PROD-621,92.0,463.91,42679.72,39.35,Air,Cancelled,18,Card,Corporate,East,No,London,UK,0,Online,B2B,1
ORD-46048,2023-08-30,2023-09-03,2023-09-05,IndustrialSuppliesLtd,"Berlin, Germany",WH-ALPHA,Furniture,PROD-509,96.0,269.65,25886.399999999998,89.89,Sea,Cancelled,2,COD,Retail,N,No,Berlin,Germany,0,Offline,B2C,0
ORD-79168,2022-03-03,2022-03-04,2022-03-13,INDUSTRIAL SUPPLIES LTD,"New York, USA",WH-ALPHA,Electronics,PROD-301,100.0,71.24,7123.999999999999,25.14,Sea,Delayed,9,Net Banking,Retail,West,No,New York,USA,0,Online,B2C,0
ORD-82357,2023-10-29,2023-10-30,2023-11-08,GLOBAL TECH,Mumbai,WH-BETA,Office Supplies,PROD-250,15.0,406.56,6098.4,37.06,RAIL  ,Cancelled,9,Card,Corporate,East,No,Mumbai,India,0,Online,B2B,1
ORD-55820,2023-08-19,2023-08-24,2023-09-03,Apex Logistics,"New York, USA",WH-BETA,Electronics,PROD-213,14.0,45.6,638.4,62.72,Sea,On-Time,10,UPI,Corporate,West,No,New York,USA,0,Online,B2B,1
ORD-57419,2023-06-17,2023-06-19,2023-07-01,IndustrialSuppliesLtd,"Berlin, Germany",WH-BETA,Electronics,PROD-345,88.0,42.88,3773.44,57.34,Sea,Delayed,12,Net Banking,Corporate,East,Yes,Berlin,Germany,1,Online,B2B,1
ORD-28964,2023-04-11,2023-04-15,2023-04-24,global tech,"Berlin, Germany",WH-ALPHA,Furniture,PROD-758,81.0,230.97,18708.57,38.98,RAIL  ,Cancelled,9,Card,Wholesale,North,Yes,Berlin,Germany,1,Online,B2B,1
ORD-51033,2022-03-07,2022-03-09,2022-03-18,ApexLogistics,Mumbai,WH-ALPHA,Clothing,PROD-332,6.0,168.53,1011.18,36.91,Air,Delayed,9,COD,Wholesale,South,No,Mumbai,India,0,Offline,B2B,1
ORD-46160,2023-11-27,2023-11-29,2023-12-13,GLOBAL TECH,"Berlin, Germany",MAIN_HUB,Electronics,PROD-556,81.0,431.08,34917.48,48.59,SEA  ,Cancelled,14,COD,Wholesale,North,No,Berlin,Germany,0,Offline,B2B,1
ORD-17104,2023-10-16,2023-10-18,2023-10-30,GlobalTech,"Shanghai, CN",MAIN_HUB,Clothing,PROD-870,71.0,268.77,19082.67,32.42,Road,Delayed,12,Card,Wholesale,East,No,Shanghai,CN,0,Online,B2B,1
ORD-64293,2022-06-16,2022-06-20,2022-06-29,Global Tech,"Berlin, Germany",MAIN_HUB,Clothing,PROD-809,70.0,159.22,11145.4,55.95,Air,Cancelled,9,COD,Retail,West,Yes,Berlin,Germany,1,Offline,B2C,0
ORD-30866,2023-06-10,2023-06-11,2023-06-30,global tech,"New York, USA",WH-GAMMA,Electronics,PROD-425,0.0,466.23,0.0,34.21,Sea,Delayed,19,Net Banking,Wholesale,East,Yes,New York,USA,1,Online,B2B,1
ORD-89963,2023-01-14,2023-01-15,2023-01-26,Apex Logistics Inc,"New York, USA",WH-GAMMA,Industrial Tools,PROD-832,83.0,488.2,40520.6,22.8,Sea,Cancelled,11,Card,Retail,East,Yes,New York,USA,1,Online,B2C,0
ORD-61068,2022-02-11,2022-02-14,2022-03-01,Industrial Supplies Ltd Inc,"Berlin, Germany",MAIN_HUB,Clothing,PROD-797,0.0,105.06,0.0,88.5,SEA  ,On-Time,15,Card,Corporate,North,Yes,Berlin,Germany,1,Online,B2B,1
ORD-56961,2022-01-29,2022-01-30,2022-02-10,Industrial Supplies Ltd Inc,Mumbai,MAIN_HUB,Office Supplies,PROD-975,3.0,294.16,882.48,80.77,Road,On-Time,11,Net Banking,Corporate,South,Yes,Mumbai,India,1,Online,B2B,1
ORD-74942,2022-10-18,2022-10-19,2022-10-28,Industrial Supplies Ltd,"Paris, France",WH-BETA,Industrial Tools,PROD-282,8.0,286.54,2292.32,56.37,AIR  ,On-Time,9,Card,Corporate,East,No,Paris,France,0,Online,B2B,1
ORD-16590,2022-12-24,2022-12-29,2023-01-10,APEX LOGISTICS,"London, UK",WH-BETA,Furniture,PROD-182,100.0,420.73,42073.0,79.8,Air,Cancelled,12,Card,Wholesale,East,No,London,UK,0,Online,B2B,1
ORD-89516,2022-12-15,2022-12-17,2022-12-26,ApexLogistics,"Shanghai, CN",WH-BETA,Industrial Tools,PROD-897,29.0,78.55,2277.95,53.38,SEA  ,On-Time,9,Net Banking,Wholesale,West,No,Shanghai,CN,0,Online,B2B,1
ORD-66973,2022-05-22,2022-05-24,2022-06-04,Industrial Supplies Ltd,"London, UK",WH-BETA,Furniture,PROD-366,83.0,348.07,28889.81,51.62,Road,On-Time,11,Card,Wholesale,North,No,London,UK,0,Online,B2B,1
ORD-57088,2022-04-03,2022-04-05,2022-04-19,Global Tech Inc,"Berlin, Germany",MAIN_HUB,Clothing,PROD-453,36.0,57.62,2074.32,75.72,Air,On-Time,14,Net Banking,Corporate,East,No,Berlin,Germany,0,Online,B2B,1
ORD-87554,2022-10-12,2022-10-17,2022-10-24,GlobalTech,"Shanghai, CN",WH-GAMMA,Furniture,PROD-777,42.0,143.06,6008.52,38.3,Sea,Delayed,7,Card,Retail,North,No,Shanghai,CN,0,Online,B2C,0
ORD-16764,2023-07-29,2023-08-03,2023-08-05,ABC Corp,"Berlin, Germany",WH-ALPHA,Furniture,PROD-465,39.0,352.09,13731.509999999998,51.62,Road,On-Time,2,Card,Corporate,West,Yes,Berlin,Germany,1,Online,B2B,1
ORD-16358,2023-08-07,2023-08-08,2023-08-17,Industrial Supplies Ltd Inc,"Shanghai, CN",WH-GAMMA,Furniture,PROD-945,12.0,252.43,3029.16,69.44,ROAD  ,Delayed,9,Card,Wholesale,North,No,Shanghai,CN,0,Online,B2B,1
ORD-75179,2023-06-29,2023-07-01,2023-07-16,apex logistics,"London, UK",WH-BETA,Industrial Tools,PROD-409,63.0,470.79,29659.77,14.06,AIR  ,Cancelled,15,Net Banking,Retail,North,No,London,UK,0,Online,B2C,0
ORD-93138,2022-12-11,2022-12-13,2022-12-30,Industrial Supplies Ltd,Mumbai,WH-GAMMA,Furniture,PROD-557,50.0,340.74,17037.0,92.81,AIR  ,Cancelled,17,UPI,Retail,East,Yes,Mumbai,India,1,Online,B2C,0
ORD-91006,2022-09-21,2022-09-23,2022-09-29,ABC CORP,"New York, USA",MAIN_HUB,Office Supplies,PROD-234,10.0,177.79,1777.9,65.8,SEA  ,Cancelled,6,COD,Retail,South,No,New York,USA,0,Offline,B2C,0
ORD-80457,2022-09-19,2022-09-21,2022-09-30,ABCCorp,"Paris, France",WH-BETA,Office Supplies,PROD-258,84.0,107.99,9071.16,8.1,SEA  ,On-Time,9,UPI,Wholesale,East,No,Paris,France,0,Online,B2B,1
ORD-90746,2022-11-30,2022-12-02,2022-12-11,global tech,"London, UK",WH-BETA,Office Supplies,PROD-589,3.0,50.63,151.89,55.93,ROAD  ,Delayed,9,Card,Wholesale,East,No,London,UK,0,Online,B2B,1
ORD-11214,2023-02-04,2023-02-07,2023-02-10,APEX LOGISTICS,"New York, USA",WH-ALPHA,Industrial Tools,PROD-128,59.0,197.87,11674.33,81.86,RAIL  ,Delayed,3,Card,Corporate,East,No,New York,USA,0,Online,B2B,1
ORD-83060,2022-02-23,2022-02-25,2022-03-14,Apex Logistics Inc,Mumbai,MAIN_HUB,Industrial Tools,PROD-831,86.0,128.62,11061.32,59.02,Road,Cancelled,17,UPI,Retail,East,No,Mumbai,India,0,Online,B2C,0
ORD-91226,2023-01-30,2023-02-04,2023-02-17,ABC Corp Inc,"London, UK",WH-GAMMA,Industrial Tools,PROD-152,13.0,421.16,5475.08,90.37,Air,Cancelled,13,Net Banking,Retail,West,No,London,UK,0,Online,B2C,0
ORD-40775,2022-01-29,2022-01-31,2022-02-05,INDUSTRIAL SUPPLIES LTD,Mumbai,WH-ALPHA,Office Supplies,PROD-994,1.0,241.34,241.34,51.62,Road,Delayed,5,UPI,Corporate,West,No,Mumbai,India,0,Online,B2B,1
ORD-94675,2022-09-10,2022-09-11,2022-09-29,APEX LOGISTICS,"London, UK",WH-GAMMA,Industrial Tools,PROD-370,49.0,262.43,12859.07,55.95,Air,Cancelled,18,Card,Corporate,South,Yes,London,UK,1,Online,B2B,1
ORD-74799,2022-07-28,2022-07-30,2022-08-13,ABC Corp,"New York, USA",WH-BETA,Office Supplies,PROD-628,21.0,412.64,8665.44,80.92,Sea,On-Time,14,UPI,Retail,South,Yes,New York,USA,1,Online,B2C,0
ORD-68860,2023-10-31,2023-11-02,2023-11-18,ABCCorp,"New York, USA",WH-GAMMA,Office Supplies,PROD-797,66.0,369.64,24396.24,65.08,Road,Cancelled,16,Net Banking,Retail,North,Yes,New York,USA,1,Online,B2C,0
ORD-25919,2022-10-07,2022-10-10,2022-10-16,ApexLogistics,"New York, USA",WH-GAMMA,Clothing,PROD-752,74.0,317.11,23466.14,47.54,Road,Delayed,6,Net Banking,Corporate,West,Yes,New York,USA,1,Online,B2B,1
ORD-59816,2023-08-23,2023-08-25,2023-08-28,INDUSTRIAL SUPPLIES LTD,Mumbai,WH-ALPHA,Furniture,PROD-733,28.0,132.07,3697.96,61.18,Air,Cancelled,3,UPI,Wholesale,East,Yes,Mumbai,India,1,Online,B2B,1
ORD-94529,2022-11-04,2022-11-06,2022-11-15,ApexLogistics,"Berlin, Germany",WH-GAMMA,Electronics,PROD-604,78.0,52.5,4095.0,5.51,Road,Delayed,9,Card,Corporate,West,No,Berlin,Germany,0,Online,B2B,1
ORD-40427,2023-03-19,2023-03-22,2023-04-01,INDUSTRIAL SUPPLIES LTD,"New York, USA",WH-BETA,Electronics,PROD-921,67.0,311.03,20839.01,51.62,Road,Delayed,10,Card,Retail,East,No,New York,USA,0,Online,B2C,0
ORD-43386,2023-10-13,2023-10-16,2023-10-26,INDUSTRIAL SUPPLIES LTD,Mumbai,WH-ALPHA,Industrial Tools,PROD-369,20.0,133.62,2672.4,73.53,Road,Delayed,10,COD,Retail,South,No,Mumbai,India,0,Offline,B2C,0
ORD-54725,2022-12-16,2022-12-17,2022-12-23,ABC CORP,"Berlin, Germany",MAIN_HUB,Furniture,PROD-890,46.0,92.28,4244.88,14.0,Sea,Delayed,6,Net Banking,Corporate,North,No,Berlin,Germany,0,Online,B2B,1
ORD-63626,2023-10-24,2023-10-25,2023-11-03,Apex Logistics Inc,"Paris, France",WH-BETA,Electronics,PROD-360,29.0,265.94,7712.26,37.2,Rail,Cancelled,9,Net Banking,Corporate,South,No,Paris,France,0,Online,B2B,1
ORD-20957,2022-06-29,2022-07-01,2022-07-17,GLOBAL TECH,"London, UK",MAIN_HUB,Electronics,PROD-269,24.0,202.04,4848.96,46.4,RAIL  ,Cancelled,16,COD,Wholesale,E,Yes,London,UK,1,Offline,B2B,1
ORD-61964,2022-03-25,2022-03-29,2022-04-08,Apex Logistics,"London, UK",WH-BETA,Industrial Tools,PROD-279,39.0,82.1,3201.9,69.34,SEA  ,On-Time,10,Card,Corporate,East,Yes,London,UK,1,Online,B2B,1
ORD-99989,2023-01-21,2023-01-22,2023-01-31,ABCCorp,"New York, USA",WH-GAMMA,Clothing,PROD-773,20.0,436.72,8734.400000000001,7.53,Sea,Delayed,9,Card,Corporate,West,No,New York,USA,0,Online,B2B,1
ORD-19602,2023-01-15,2023-01-16,2023-01-29,Industrial Supplies Ltd Inc,"Shanghai, CN",MAIN_HUB,Electronics,PROD-451,57.0,236.89,13502.73,70.5,Air,On-Time,13,COD,Wholesale,South,Yes,Shanghai,CN,1,Offline,B2B,1
ORD-41285,2022-07-16,2022-07-18,2022-08-03,ABCCorp,"London, UK",MAIN_HUB,Clothing,PROD-728,46.0,116.77,5371.42,50.66,RAIL  ,Delayed,16,UPI,Corporate,North,No,London,UK,0,Online,B2B,1
